group,paper,gpt-oss-120b-medium,qwen3-next-80b-a3b-instruct-fp8,delta_gpt_minus_qwen
nat_protocols,s41596-019-0213-z,69.8,60.4,9.399999999999999
nat_protocols,s41596-020-0379-4,60.9,63.3,-2.3999999999999986
nat_protocols,s41596-021-00603-4,56.5,58.3,-1.7999999999999972
nat_protocols,s41596-021-00629-8,60.7,58.5,2.200000000000003
nat_protocols,s41596-023-00814-x,59.1,48.0,11.100000000000001
nat_protocols,s41596-023-00880-1,55.7,67.4,-11.700000000000003
nat_protocols,s41596-023-00929-1,54.6,59.1,-4.5
nat_protocols,s41596-025-01197-x,49.7,70.8,-21.099999999999994
nat_protocols,s41596-025-01299-6,60.1,54.7,5.399999999999999
nat_siblings,s41467-020-19142-9,65.4,65.33333333333333,0.06666666666667709
nat_siblings,s41467-021-27464-5,64.8,65.1,-0.29999999999999716
nat_siblings,s41467-024-55567-2,59.55555555555556,71.125,-11.569444444444443
nat_siblings,s41467-025-68247-6,53.7,59.6,-5.899999999999999
nat_siblings,s41586-018-0024-3,83.0,83.0,0.0
nat_siblings,s41586-019-1654-9,79.875,83.0,-3.125
nat_siblings,s41586-021-03209-8,58.2,65.6,-7.3999999999999915
nat_siblings,s41586-023-06473-y,78.9,81.3,-2.3999999999999915
nat_siblings,s41586-023-06564-w,57.6,65.7,-8.100000000000001
nat_siblings,s41586-024-08172-8,81.4,82.2,-0.7999999999999972
nat_siblings,s41587-023-01718-7,71.8,80.44444444444444,-8.644444444444446
nat_siblings,s41587-023-01747-2,72.2,79.875,-7.674999999999997
nat_siblings,s41588-021-00972-2,83.0,83.0,0.0
nat_siblings,s41588-025-02182-6,79.7,83.0,-3.299999999999997
nat_siblings,s41591-024-02807-z,72.2,83.0,-10.799999999999997
nat_siblings,s41592-021-01344-8,73.1,83.0,-9.900000000000006
nat_siblings,s41592-021-01391-1,73.9,83.0,-9.099999999999994
nat_siblings,s41592-024-02555-5,78.9,83.0,-4.099999999999994
nat_siblings,s41592-025-02927-5,72.0,83.0,-11.0
nat_siblings,s41593-021-00923-4,83.0,83.0,0.0
